"tconst","primaryTitle","startYear","endYear","rank","averageRating","numVotes","directors","writers","genres","IMDbLink","Title_IMDb_Link"
"tt2861424","Rick and Morty",2013,NA,11,9.1,644864,"Wesley Archer, Pete Michels, Jacob Hair, Nathan Litz, Kyoung Hee Lim, Bryan Newton, Juan Jose Meza-Leon, Dominic Polcino, Erica Hayes, Lucas Gray, Anthony Chun, John Rice, Stephen Sandoval, Douglas Einar Olsen, Jeff Myers, Justin Roiland, Fill Marc Sagadraca, Eugene Huang","Dan Harmon, Justin Roiland, Tom Kauffman, Eric Acosta, Wade Randolph, Mike McMahan, Siobhan Thompson, Anne Lane, Ryan Ridley, Matt Roller, Jane Becker, Sarah Carbiener, Erica Rosbe, Florian Wagner, Caitie Delaney, Dave Horwitz, Shawn Pearlman, Edward Voccola, Grace Freud, Alex Song-Xia, Cody Ziglar, Brian Wysol, David Phillips, James Siciliano, Albro Lundy IV, Jessica Gao, Jeff Loveness, Brandon Johnson, Alex Rubens, Dan Guterman, Tanner Tananbaum, Scott Marder, Nicholas Rutherford, Rob Schrab, Heather Anne Campbell, Abed Gheith, Rashad Gheith, Rich Fulcher, Michael Waldron, John Harris, Jeremy Gilfor, Jess Lacher, Michael Kellner, Beth Stelling","Adventure, Animation, Comedy","<a href=""https://www.imdb.com/title/tt2861424"" target=""_blank"">tt2861424</a>","<a href=""https://www.imdb.com/title/tt2861424"" target=""_blank"">Rick and Morty</a>"
"tt2560140","Attack on Titan",2013,2023,12,9.1,600839,"Tetsurô Araki, Masashi Koizuka, Yûichirô Hayashi, Jun Shishido, Hiroyuki Tanaka, Shintarô Itoga, Yasuhiro Akamatsu, Teruyuki Omine, Shinpei Ezaki, Kiyoshi Fukumoto, Yoshihide Ibata, Mitsue Yamazaki, Daisuke Tokudo, Akitoshi Yokoyama, Satonobu Kikuchi, Hitomi Ezoe, Tetsuya Wakano, Makoto Bessho, Tomomi Ikeda, Yasushi Muroya, Keisuke Onishi, Hirokazu Yamada, Takayuki Hirao, Kenji Imura, Tomoko Hiramuki, Shingo Uchida, Takashi Andô, Matsuo Asami, Aiko Sakuraba, Kaori Makita, Hidekazu Hara, Yoshiyuki Fujiwara, Tatsuma Minamikawa, Yuzuru Tachikawa, Shin Wakabayashi, Masayuki Miyaji, Yuumi Kawai, Ken Andô, Ryôsuke Azuma, Ryûta Kawahara, Miki Komuro, Kôki Aoshima, Naoki Matsuura, Kazuo Miyake, Tokio Igarashi","Hajime Isayama, Yasuko Kobayashi, Hiroshi Seko, Noboru Takagi, Aaron Dismuke, J. Michael Tatum","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt2560140"" target=""_blank"">tt2560140</a>","<a href=""https://www.imdb.com/title/tt2560140"" target=""_blank"">Attack on Titan</a>"
"tt14392248","Aspirants",2021,NA,13,9.2,315334,"Apoorv Singh Karki","Deepesh Sumitra Jagdish, Arunabh Kumar, Shreyansh Pandey, Ashutosh Chaturvedi, Pankaj Mavchi","Drama","<a href=""https://www.imdb.com/title/tt14392248"" target=""_blank"">tt14392248</a>","<a href=""https://www.imdb.com/title/tt14392248"" target=""_blank"">Aspirants</a>"
"tt12392504","Scam 1992: The Harshad Mehta Story",2020,2020,14,9.2,164349,"Hansal Mehta, Jai Mehta","Saurav Dey, Sumit Purohit, Vaibhav Vishal, Karan Vyas, Debashis Basu, Sucheta Dalal, Sanjay Singh, Kiran Yagnopavit","Biography, Crime, Drama","<a href=""https://www.imdb.com/title/tt12392504"" target=""_blank"">tt12392504</a>","<a href=""https://www.imdb.com/title/tt12392504"" target=""_blank"">Scam 1992: The Harshad Mehta Story</a>"
"tt2395695","Cosmos: A Spacetime Odyssey",2014,2014,15,9.2,133803,"Brannon Braga, Ann Druyan, Bill Pope, Kevin Dart","Ann Druyan, Johnny Otto, Carl Sagan, Steven Soter","Documentary","<a href=""https://www.imdb.com/title/tt2395695"" target=""_blank"">tt2395695</a>","<a href=""https://www.imdb.com/title/tt2395695"" target=""_blank"">Cosmos: A Spacetime Odyssey</a>"
"tt0386676","The Office",2005,2013,16,9,770126,"Paul Feig, Randall Einhorn, Ken Kwapis, Greg Daniels, Jeffrey Blitz, Ken Whittingham, David Rogers, Charles McDougall, Matt Sohn, Paul Lieberstein, B.J. Novak, Tucker Gates, Harold Ramis, Brent Forrester, Jennifer Celotta, Steve Carell, John Krasinski, Rainn Wilson, Troy Miller, Bryan Gordon, Dennie Gordon, Victor Nelli Jr., Jason Reitman, Julian Farino, Joss Whedon, Seth Gordon, Dean Holland, Lee Eisenberg, Gene Stupnitsky, Mindy Kaling, Ed Helms, Rodman Flender, Claire Scanlon, Amy Heckerling, Miguel Arteta, Roger Nygard, J.J. Abrams, Craig Zisk, Stephen Merchant, Reginald Hudlin, Asaad Kelada, Alex Hardcastle, Danny Leiner, John Scott, Marc Webb, Charlie Grandy, Michael Spiller, Eric Appel, Brian Baumgartner, Daniel Chun, Bryan Cranston, Kelly Cantley-Kashima, Jon Favreau, Lee Kirk, Jesse Peretz","Greg Daniels, Ricky Gervais, Stephen Merchant, Carrie Kemper, Mindy Kaling, Anthony Q. Farrell, Robert Padnick, Daniel Chun, Caroline Williams, Niki Schwartz-Wright, Paul Lieberstein, B.J. Novak, Lee Eisenberg, Gene Stupnitsky, Jennifer Celotta, Brent Forrester, Justin Spitzer, Michael Schur, Charlie Grandy, Warren Lieberstein, Halsted Sullivan, Aaron Shure, Owen Ellickson, Allison Silverman, Amelie Gillette, Steve Hely, Steve Carell, Lester Lewis, Ryan Koh, Jon Vitti, Dan Greaney, Jonathan Green, Gabe Miller, Dan Sterling, Graham Wagner, Larry Wilmore, Jonathan Hughes, Jason Kessler, Peter Ocko, Tim McAuliffe","Comedy","<a href=""https://www.imdb.com/title/tt0386676"" target=""_blank"">tt0386676</a>","<a href=""https://www.imdb.com/title/tt0386676"" target=""_blank"">The Office</a>"
"tt3032476","Better Call Saul",2015,2022,17,9,724134,"Vince Gilligan, Thomas Schnauz, Peter Gould, Michael Morris, Adam Bernstein, Michelle MacLaren, Colin Bucksey, John Shiban, Larysa Kondracki, Terry McDonough, Daniel Sackheim, Minkie Spiro, Jim McKay, Melissa Bernstein, Gordon Smith, Nicole Kassell, Michael Slovis, Scott Winant, Keith Gordon, Deborah Chow, Andrew Stanton, Norberto Barba, Bronwen Hughes, Giancarlo Esposito, Rhea Seehorn","Vince Gilligan, Peter Gould, Gordon Smith, Marion Dayre, Ann Cherkis, Thomas Schnauz, Ariel Levine, Gennifer Hutchison, Alison Tatlock, Jonathan Glatzer, Bradley Paul","Crime, Drama","<a href=""https://www.imdb.com/title/tt3032476"" target=""_blank"">tt3032476</a>","<a href=""https://www.imdb.com/title/tt3032476"" target=""_blank"">Better Call Saul</a>"
"tt11126994","Arcane",2021,2024,18,9,389415,"Pascal Charrue, Arnaud Delord, Barth Maunoury, Marietta Ren, Christelle Abgrall, Etienne Mattera","Mollie Bickley St. John, Ash Brannon, David Dunne, Kristina Felske, Henry G.M. Jones, Christian Linke, Nick Luddington, Graham McNeill, Amanda Overton, Giovanna Sarquis, Conor Sheehy, Ben St. John, Alex Yee","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt11126994"" target=""_blank"">tt11126994</a>","<a href=""https://www.imdb.com/title/tt11126994"" target=""_blank"">Arcane</a>"
"tt1355642","Fullmetal Alchemist: Brotherhood",2009,2010,19,9.1,218900,"Yasuhiro Irie, Takuya Igarashi, Tsutomu Yabuki, Ikurô Satô, Kiyomitsu Satô, Hiroshi Iketomi, Keiko Namba, Takahiro Ikezoe, Masahiro Sonoda, Masao Ôkubo, Rokô Ogiwara, Takayuki Tanaka, Kazuhide Tomonaga, Daisuke Tsukushi","Hiromu Arakawa, Hiroshi Ônogi, Michihiro Tsuchiya, Shotaro Suga, Seishi Minakami, Yoneki Tsumura, Blair Rowan","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt1355642"" target=""_blank"">tt1355642</a>","<a href=""https://www.imdb.com/title/tt1355642"" target=""_blank"">Fullmetal Alchemist: Brotherhood</a>"
"tt6769208","Blue Planet II",2017,2017,20,9.3,51448,"James Honeyborne","-","Documentary","<a href=""https://www.imdb.com/title/tt6769208"" target=""_blank"">tt6769208</a>","<a href=""https://www.imdb.com/title/tt6769208"" target=""_blank"">Blue Planet II</a>"
"tt0108778","Friends",1994,2004,21,8.9,1139482,"Gary Halvorson, Kevin Bright, Michael Lembeck, James Burrows, Gail Mancuso, Peter Bonerz, David Schwimmer, Ben Weiss, Robby Benson, Shelley Jensen, Terry Hughes, Dana De Vally Piazza, Sheldon Epps, Pamela Fryman, Alan Myerson, Thomas Schlamme, Steve Zuckerman, Roger Christiansen, Arlene Sanford, Ellen Gittelsohn, Paul Lazarus, Mary Kay Place, Sam Simon, David Steinberg, Todd Holland, Joe Regalbuto, Andrew Tsao, Stephen Prime","David Crane, Marta Kauffman, Scott Silveri, Shana Goldberg-Meehan, Adam Chase, Alexa Junge, Jeff Astrof, Mike Sikowitz, Ira Ungerleider, Ted Cohen, Andrew Reich, Greg Malins, Seth Kurland, Wil Calhoun, Michael Curtis, Robert Carlock, Gigi McCreery, Perry M. Rein, Brian Boyle, Patty Lin, R. Lee Fleming Jr., Sherry Bilsing, Ellen Kreamer, Brian Buckner, Sebastian Jones, Mark Kunerth, Doty Abrams, Dana Klein, Michael Borkow, Jeff Greenstein, Jeff Strauss, Jill Condon, Amy Toomin Straus, Zachary Rosenblatt, Chris Brown, Alicia Sky Varinaitis, Peter Tibbals, Betsy Borns, Brown Mandell, Pang-Ni Landrum, Vanessa McCarthy, Steven Rosenhaus, Bill Lawrence, Richard Goodman, Suzie V. Freeman, Brian Caldirola, Earl Davis, David J. Lagana, Judd Rubin, Tracy Reilly, Jenji Kohan","Comedy, Romance","<a href=""https://www.imdb.com/title/tt0108778"" target=""_blank"">tt0108778</a>","<a href=""https://www.imdb.com/title/tt0108778"" target=""_blank"">Friends</a>"
"tt2356777","True Detective",2014,NA,22,8.9,698677,"Cary Joji Fukunaga, Issa López, Daniel Sackheim, John Crowley, Justin Lin, Nic Pizzolatto, Jeremy Saulnier, Daniel Attias, Janus Metz, Jeremy Podeswa, Miguel Sapochnik","Nic Pizzolatto, Issa López, Scott Lasser, Chris Mundy, Graham Gordy, David Milch, Katrina Albright, Namsi Khan, Alan Page, Wenonah Wilms","Crime, Drama, Mystery","<a href=""https://www.imdb.com/title/tt2356777"" target=""_blank"">tt2356777</a>","<a href=""https://www.imdb.com/title/tt2356777"" target=""_blank"">True Detective</a>"
"tt0877057","Death Note",2006,2007,23,8.9,420398,"Tetsurô Araki, Norimitsu Suzuki, Kei Tsunematsu, Mitsuyuki Masuhara, Tomohiko Itô, Hiroyuki Tsuchiya, Mitsuhiro Yoneda, Eiko Nishi, Makoto Bessho, Shinji Nagamura, Oyunamu, Naoyasu Habu, Hisato Shimoda, Yukio Okazaki, Hironori Aoyagi, Naoto Hashimoto, Takayuki Hirao, Hideki Itô, Ryôsuke Nakamura, Tetsuhito Saitô, Tomio Yamauchi","Gracie P. Aylward, Toshiki Inoue, Tomohiko Itô, Yasuko Kobayashi, Takeshi Obata, Shôji Yonemura, Tsugumi Ôba","Animation, Crime, Drama","<a href=""https://www.imdb.com/title/tt0877057"" target=""_blank"">tt0877057</a>","<a href=""https://www.imdb.com/title/tt0877057"" target=""_blank"">Death Note</a>"
"tt0098904","Seinfeld",1989,1998,24,8.9,367543,"Andy Ackerman, Tom Cherones, David Steinberg, D. Owen Trainor, Joshua White, Jason Alexander, Art Wolff","Larry David, Jerry Seinfeld, Peter Mehlman, Carol Leifer, Alec Berg, Jeff Schaffer, Andy Robin, Gregg Kavet, David Mandel, Larry Charles, Steve Koren, Jennifer Crittenden, Dan O'Keefe, Tom Gammill, Max Pross, Spike Feresten, Matt Goldman, Marjorie Gross, Darin Henry, Bill Masters, Tom Leopold, Elaine Pope, Marc Jaffe, Bruce Kirschbaum, Bruce Eric Kaplan, Bob Shaw, Ron Hauge, Sam Henry Kass, Charlie Rubin, Fred Stoller, Steve O'Donnell, Don McEnery, Greg Daniels, Bobby Farrelly, Peter Farrelly, Larry Levin, Jon Hayman, Lawrence H. Levy, Steve Skrovan, Andy Cowan, Jonathan Gross, Matt Selman, Jill Franklyn, Kit Boss, Billy Kimball, Steve Lookner","Comedy","<a href=""https://www.imdb.com/title/tt0098904"" target=""_blank"">tt0098904</a>","<a href=""https://www.imdb.com/title/tt0098904"" target=""_blank"">Seinfeld</a>"
"tt0388629","One Piece",1999,NA,25,9,291533,"Munehisa Sakai, Kônosuke Uda, Katsumi Tokoro, Tasuku Shimaya, Yûsuke Suzuki, Tatsuya Nagamine, Yasunori Koyama, Nanami Michibata, Masahiro Hosoda, Shô Inuzuka, Kôhei Kureta, Ryosuke Tanaka, Ken'ichi Takeshita, Yutaka Nakashima, Toshinori Fukuzawa, Megumi Ishitani, Satoshi Itô, Toshihiro Maeya, Sho Matsui, Hazuki Omoya, Hiroaki Miyamoto, Ryôta Nakamura, Shigeyasu Yamauchi, Yoshihiro Ueda, Aya Komaki, Yûji Tokuno, Wataru Matsumi, Nozomu Shishido, Tetsuji Nakamura, Junji Shimizu, Mamoru Hosoda, Makoto Sonoda, Tetsuya Endô, Takashi Ôtsuka, Takaaki Ishiyama, Hikaru Takeuchi, Akihiko Sano, Henry Thurlow, Hyun Eri, Yasuhiro Tanabe","Eiichirô Oda, Junki Takegami, Bonny Clinkenbeard, Yoshiyuki Suga, Jin Tanaka, Sean Whitley, Eric Vale, Tomohiro Nakayama, Shôji Yonemura, Shinzô Fujita, Akiko Inoue, Atsuhiro Tomioka, Ryo Yamazaki, Hirohiko Uesaka, Michiru Shimada, Spencer Prokop, Matt Chaney, Brandon Potter, Ryôta Yamaguchi, Kelli Howard, Andrew Rye, Sean Teague, Mike McFarland, Yoshiyaki Suga, Suminori Takegami, Naoki Koga, Takuya Masumoto, Clint Bickham","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0388629"" target=""_blank"">tt0388629</a>","<a href=""https://www.imdb.com/title/tt0388629"" target=""_blank"">One Piece</a>"
"tt8420184","The Last Dance",2020,2020,26,9,165389,"Jason Hehir","-","Biography, Documentary, History","<a href=""https://www.imdb.com/title/tt8420184"" target=""_blank"">tt8420184</a>","<a href=""https://www.imdb.com/title/tt8420184"" target=""_blank"">The Last Dance</a>"
"tt2098220","Hunter x Hunter",2011,2014,27,9,161124,"Hiroshi Kôjina, Tony Oliver, Masaki Matsumura, Seung-wook Woo, Daisuke Yoshida, Migmi, Jun'ichi Fujise, Kenichi Kawamura, Tomoya Takahashi","Yoshihiro Togashi, Tsutomu Kamishiro, Atsushi Maekawa, Shôji Yonemura, Joel McDonald, Mitsutaka Hirota, Yasushi Hirano, Fumiyo Sakai","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt2098220"" target=""_blank"">tt2098220</a>","<a href=""https://www.imdb.com/title/tt2098220"" target=""_blank"">Hunter x Hunter</a>"
"tt0103359","Batman: The Animated Series",1992,1995,28,9,126265,"Kevin Altieri, Boyd Kirkland, Frank Paur, Dan Riba, Dick Sebast, Bruce Timm, Eric Radomski, Kent Butterworth","Bill Finger, Bob Kane, Eric Radomski, Tom Ruegger, Bruce Timm, Michael Reaves, Paul Dini, Martin Pasko, Mitch Brian, Laren Bright, Alan Burnett, Sean Catherine Derek, Randy Rogel, Steve Perry, Denny O'Neil, Brynne Stephens, Norm Breyfogle, Alan Grant, Len Wein, Jules Dennis, Richard Mueller, Joe R. Lansdale, Gerry Conway, Marty Isenberg, Robert N. Skir, Garfield Reeves-Stevens, Judith Reeves-Stevens, David Wise, John Wagner, Steve Englehart, Carmine Infantino, Robert Kanigher, Garin Wolf, Marv Wolfman, Beth Bornstein, Buzz Dixon, Henry Gilroy, Eddie Gorodetsky, Sam Graham, Steve Hayes, Chris Hubbell, Samuel Warren Joseph, Elliot S. Maggin, Dennis Marks, Dennis O'Flaherty, Ted Pedersen, Mark Saraceni, Carl Swenson, Trevor Von Eeden, Cherie Wilkerson, Murphy Anderson, Mike W. Barr, Gardner Fox, Chuck Menville, Mike Underwood, Kevin Altieri, Chuck Dixon, Diane Duane, Peter Morwood, Jean MacCurdy, Neal Adams, Marshall Rogers, John Calnan, Dick Giordano, Sam Hamm, David Vern Reed, Chris Schoon, Walter Simonson, Winslow Mortimer, Irv Novick, Lew Schwartz, Brian Bolland, Alan Moore, Graham Nolan","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0103359"" target=""_blank"">tt0103359</a>","<a href=""https://www.imdb.com/title/tt0103359"" target=""_blank"">Batman: The Animated Series</a>"
"tt1831164","Leyla and Mecnun",2011,2023,29,9.1,99545,"Onur Ünlü, Eyüp Boz, Murat Onbul, Funda Alp, Celil Murat Sari, Orkun Ünlü, Yüksel Aksu","Burak Aksak, Hamza Asgin, Derem Ciray, Sertaç Baycan, Mert Tolga Demir","Adventure, Comedy, Drama","<a href=""https://www.imdb.com/title/tt1831164"" target=""_blank"">tt1831164</a>","<a href=""https://www.imdb.com/title/tt1831164"" target=""_blank"">Leyla and Mecnun</a>"
"tt4742876","TVF Pitchers",2015,2022,30,9.1,75403,"Amit Golani, Vaibhav Bundhoo, Arunabh Kumar","Arunabh Kumar, Biswapati Sarkar, Prashant Kumar, Shubham Sharma, Talha Siddiqui, Garima Kunzru","Comedy, Drama","<a href=""https://www.imdb.com/title/tt4742876"" target=""_blank"">tt4742876</a>","<a href=""https://www.imdb.com/title/tt4742876"" target=""_blank"">TVF Pitchers</a>"
"tt9253866","Our Planet",2019,2023,31,9.2,56414,"Adam Chapman, Hugh Pearson, Toby Nowlan, Huw Cordey, Sophie Lanfear, Mandi Stark, Jeff Wilson","-","Documentary","<a href=""https://www.imdb.com/title/tt9253866"" target=""_blank"">tt9253866</a>","<a href=""https://www.imdb.com/title/tt9253866"" target=""_blank"">Our Planet</a>"
"tt0081846","Cosmos",1980,1980,32,9.3,47714,"Adrian Malone, David F. Oyster, Rob McCain, David Kennard, Richard J. Wells, Geoffrey Haines-Stiles, Tom Weidlinger, Richard Wells","Ann Druyan, Carl Sagan, Steven Soter","Documentary","<a href=""https://www.imdb.com/title/tt0081846"" target=""_blank"">tt0081846</a>","<a href=""https://www.imdb.com/title/tt0081846"" target=""_blank"">Cosmos</a>"
"tt7678620","Bluey",2018,NA,33,9.3,37558,"Richard Jeffery, Joe Brumm, Beth Harvey, Claire Renton, Tony Walsh","Joe Brumm, Michael Griffin, Claire Renton, Francis Stanton, Tim Bain, Lorin Clarke, Beth Harvey, John McGeachin, Chris Bennett, Dan Brumm, Dave Lowe, Mark Paterson, Stuart Heritage","Animation, Family","<a href=""https://www.imdb.com/title/tt7678620"" target=""_blank"">tt7678620</a>","<a href=""https://www.imdb.com/title/tt7678620"" target=""_blank"">Bluey</a>"
"tt2802850","Fargo",2014,2024,34,8.8,442904,"Noah Hawley, Michael Uppendahl, Dana Gonzales, Keith Gordon, Dearbhla Walsh, Sylvain White, Randall Einhorn, Adam Bernstein, Colin Bucksey, Matt Shakman, Scott Winant, Adam Arkin, Jeffrey Reiner, Mike Barker, Donald Murphy, Thomas Bezucha, John Cameron","Noah Hawley, Lee Edward Colston, Robert De Laurentiis, Ben Nedivi, Matt Wolpert, Enzo Mileti, Scott Wilson, Steve Blackman, Monica Beletsky, Francesca Sloane, Stefani Robinson, Thomas Bezucha, April Shih","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt2802850"" target=""_blank"">tt2802850</a>","<a href=""https://www.imdb.com/title/tt2802850"" target=""_blank"">Fargo</a>"
"tt10986410","Ted Lasso",2020,NA,35,8.8,395905,"Declan Lowney, MJ Delaney, Matt Lipsey, Erica Dunton, Tom Marshall, Elliot Hegarty, Destiny Ekaragha, Zach Braff, Ezra Edelman, Sam Jones","Brendan Hunt, Joe Kelly, Bill Lawrence, Jason Sudeikis, Phoebe Walsh, Brett Goldstein, Sasha Garron, Keeley Hazell, Dylan Marron, Jane Becker, Leann Bowen, Jamie Lee, Bill Wrubel, Ashley Nicole Black, Chuck Hayward","Comedy, Drama, Sport","<a href=""https://www.imdb.com/title/tt10986410"" target=""_blank"">tt10986410</a>","<a href=""https://www.imdb.com/title/tt10986410"" target=""_blank"">Ted Lasso</a>"
"tt7660850","Succession",2018,2023,36,8.8,313479,"Mark Mylod, Andrij Parekh, Shari Springer Berman, Robert Pulcini, Lorene Scafaria, Adam Arkin, Becky Martin, Kevin Bray, Miguel Arteta, S.J. Clarkson, Adam McKay, Matt Shakman, Cathy Yan","Jesse Armstrong, Jamie Carragher, Susan Soon He Stanton, Alice Birch, Miriam Battye, Georgia Pritchett, Tony Roche, Nathan Elston, Callie Hersheway, Jon Brown, Will Tracy, Lucy Prebble, Jonathan Glatzer, Ted Cohen, Anna Jordan, Mary Laws, Will Arbery","Comedy, Drama","<a href=""https://www.imdb.com/title/tt7660850"" target=""_blank"">tt7660850</a>","<a href=""https://www.imdb.com/title/tt7660850"" target=""_blank"">Succession</a>"
