feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
662,85.2442380412732,D,953,15.912649802432039,A,918,13.738845424945596,C,478,12.990707549304755,C
309,35.240026939551655,C,29,79.73539626810032,C,695,88.08101707832712,A,456,98.15852841678709,C
770,4.4863021790268265,A,531,8.995149904286531,D,302,6.693086453119546,D,119,22.065176821069695,C
344,74.87178421667495,D,991,19.751142500903406,C,297,10.227148890941512,D,448,71.26149597673916,D
492,80.40178875800399,B,73,69.42550624829464,B,491,81.86789299749255,B,367,75.39614352226828,C
414,16.89877580928755,B,394,90.3491545296373,A,773,56.140492173318265,B,368,76.23197291521265,A
806,54.19670918747494,B,869,96.49456936699256,A,44,39.78098026892382,B,477,82.77449598820318,D
386,20.00358846057685,D,394,83.7662687573369,C,144,55.79139502646508,D,991,98.92328400231436,C
192,72.20420748537053,C,758,21.93570586025627,B,244,87.9960217287841,B,581,10.503020150826583,B
956,27.88349506257108,B,481,29.285417297372923,B,419,75.95609852153399,C,907,47.74672560496163,B
277,32.30529713376968,C,473,87.20448294685674,D,517,69.46912677523906,C,958,97.50921305755371,C
161,84.65211451037004,A,313,89.04396350966697,C,62,97.71167340970898,C,889,88.32644604816127,B
460,48.155912868483526,B,438,64.42466341619112,D,858,52.60936975779589,A,913,99.07141793121617,B
314,67.30569067060654,A,952,32.050468819500125,A,538,1.6260833709555036,C,77,58.66102101783484,D
22,40.834932021524295,C,324,23.181609641551695,A,317,43.474254846810496,B,276,67.61208711004201,D
253,30.502678862181785,D,965,85.37598722701189,B,435,10.56062226966867,B,863,27.11653207171836,A
748,62.92232798204147,C,87,21.320244846525824,D,837,12.528924603382649,D,922,46.37468734414602,D
857,16.330899833803308,B,359,66.51863071755929,B,696,26.235190292042322,A,92,3.07393156173715,A
561,37.926983721119434,B,695,96.82738093067908,C,818,38.75535287901974,A,955,72.25235879671321,C
475,21.694666701206305,C,197,70.82384785747963,B,381,48.678358707205895,B,665,92.66186034137334,D
59,69.8837017271338,B,756,26.509361003295158,A,36,17.81218649388719,D,368,12.102779498689396,A
511,94.47667499626465,B,840,28.968084226170042,A,920,31.860317540500585,C,530,45.98341461423628,D
682,99.55558583357077,A,977,10.196582766669636,B,975,28.377402906032387,C,493,62.693567418227715,C
476,45.57740423371748,D,385,68.9375115061204,C,542,37.15949773574488,D,480,63.585645225906234,B
700,26.000508574008002,C,118,52.32513246491614,D,581,11.69106491650515,D,925,31.346634584059473,B
976,44.84010766804809,A,498,21.44069825408054,A,232,40.33675469694211,B,323,2.9586813071628,A
783,84.87967158630966,B,908,23.53916175439358,A,688,55.880698238975434,A,547,88.89370591721668,D
190,21.39456217665195,A,931,1.8934309219511283,C,790,10.597864187735816,D,102,10.08592943262552,B
958,95.25746951363945,D,884,97.86352051155797,B,33,52.55625259094222,B,271,18.590293930353372,D
687,34.84471111101695,C,462,82.9738003685522,A,581,75.83537288305423,A,307,96.31593950738538,C
958,98.59456228558018,D,496,40.02282510229409,A,352,1.815729162544957,C,387,50.53695372317723,C
563,84.02227986586226,D,594,94.66289522861507,C,255,5.705293673625354,D,277,87.529656234951,A
876,81.04848288059165,A,970,68.03487397628575,B,50,47.18095474224218,C,957,89.79760987190924,B
567,32.47256270355507,A,247,75.39479102715354,C,23,87.40497796533262,B,259,98.95488534859214,B
244,1.868943982845017,D,975,68.31559448750029,C,254,99.78108256509316,C,949,5.029437879821147,C
832,38.8311579737728,B,234,75.92803436347478,B,394,10.245987915899075,B,547,6.247018999831494,C
505,30.879127596606672,C,417,17.92295388542209,A,676,2.8158539366626076,B,946,19.88148619492822,A
131,4.702302050470932,B,467,56.677401755945006,D,882,23.648222287776306,A,520,65.98343179574134,A
485,51.03116039408704,B,482,85.0882512634573,D,273,47.27955387638398,B,432,26.93462423213596,A
819,40.900099816990924,C,365,2.9347158130357784,D,693,57.60779526378701,B,771,50.066874112282434,A
647,63.82109030641095,A,153,13.220852385465564,C,859,97.37500627026053,C,310,78.84938914288628,D
21,62.497445897214234,B,272,25.318341156447822,A,250,88.95790551013066,A,459,19.393388265868843,C
841,12.953916953771332,A,392,30.177942976040015,A,237,56.647771031633795,A,880,29.30257159229914,D
167,97.71958906653563,C,547,19.087682792482767,A,904,36.80967049956735,A,386,73.02503834758443,A
274,19.506211514703246,B,725,62.808708603175546,A,232,32.8084147411645,C,929,1.760901337423129,C
388,45.08212845170575,A,723,30.107888048180605,C,428,57.68984254720498,A,200,75.9806631609775,B
601,49.323636799939756,A,430,16.651884527645564,D,957,72.41393128360457,C,652,67.9515383138459,A
316,81.4932169241979,B,651,90.67679203649324,D,634,48.684916517865865,A,531,13.8290206455653,C
14,10.82373001337003,C,189,69.80841862318562,B,242,31.135479189365434,B,402,25.14195908168504,B
242,43.43578364164465,D,812,25.359815910937346,A,134,61.703370436021544,D,946,2.5250270285268503,D
777,63.221714853384185,A,907,36.73440969780601,D,71,56.23625618469498,A,85,58.5599113649551,A
346,22.3004065407815,C,252,74.33777072598116,D,858,43.3094658554267,C,22,40.31224239705055,D
565,63.1193219778412,B,395,79.30009728347741,A,465,75.08722303629065,D,235,42.91988341372986,D
898,92.44281891741562,A,662,18.46718037660268,A,421,28.93989275400091,C,798,11.215309299306316,A
340,99.75429498609482,A,853,93.72103232329944,D,310,49.00757515537823,B,850,35.87861483817461,C
92,4.212656602276896,A,219,78.74192196001121,B,279,94.09361304800049,B,390,91.9808233629394,C
367,24.323234596223074,C,594,85.82462927625151,A,219,72.56004004939466,C,129,7.4088952840777695,D
956,31.72040446337805,A,190,15.242021889366635,D,697,39.4092173795723,D,393,97.52085445975044,C
455,40.51348394405164,A,234,15.19334806912492,B,307,55.07159553598856,D,564,84.95295424300555,A
428,24.98345860089197,B,688,31.23151557831138,C,314,41.14270782073213,A,464,21.095999103632565,D
509,21.14531146097594,A,232,7.3999955428723245,B,403,12.142253661336653,B,541,70.83676800157083,B
776,95.5008303993325,C,358,10.01566535872132,A,923,34.15878291306609,D,830,10.003709439337275,D
943,91.93363867428127,B,478,15.177508396473787,C,729,86.18387036833566,B,29,16.80690703461299,A
35,5.65225759930863,D,575,71.53054353580977,B,488,46.658997581841064,D,133,49.30815801959717,A
206,34.542489138879965,B,947,3.992798872478718,D,793,58.879112548010596,D,723,40.64515067289062,C
81,41.10970681416226,A,429,9.241233355491458,A,405,18.963229174958915,A,534,81.68784369784193,B
932,24.662438931928392,D,237,94.47417008238246,C,379,36.26690123684892,C,689,93.98624185394185,A
562,63.25841680182938,B,33,9.282011485562064,D,281,92.99129350453771,B,631,94.33872522927304,D
872,64.39769391777986,A,213,54.20877465663118,C,637,32.110304043916756,B,648,15.553288058493777,C
388,85.1999186045311,B,572,64.61474603401152,B,691,25.805545438018314,C,883,68.93657999818701,D
2,74.34605757013657,C,379,95.90075785781421,D,327,6.534081871499077,A,82,57.50790639581842,A
390,54.714759369629604,A,2,90.08046907325274,A,35,10.625851016437784,A,876,37.65280175777174,C
566,65.70509023439757,C,909,44.6275939514736,D,70,58.89414447050468,B,974,99.48802270214235,A
106,28.12488937275879,A,450,94.27424207033398,B,360,66.34324707947347,C,580,46.1484687748246,C
772,59.71256280676841,C,569,43.7943216049939,C,690,64.51646749304172,A,552,66.8678030578822,A
822,49.43349822024201,D,427,67.32195283159258,D,911,54.44310296396791,C,91,50.7813287386822,C
477,14.201102264320669,C,813,26.701199001101156,C,408,49.606158465323475,D,664,11.187489770010467,A
703,25.011883381714103,B,799,64.02780806306478,A,561,8.141950843552237,B,734,14.968923435121996,D
402,29.877651621437018,A,650,54.28070551625788,D,580,84.22883779772714,A,76,75.26418281858595,D
730,92.50664713820323,B,279,61.07627323267028,C,519,51.794995128444285,D,235,80.36670208001982,D
556,23.808277299203056,C,214,68.5824689320325,A,606,14.0595522623985,C,653,37.01799330234206,B
162,29.635146379147148,A,751,18.172074710111612,B,384,14.44909611808894,C,488,7.62895596547099,B
202,37.566058878853795,C,285,30.82501729659053,D,81,51.78269564816333,B,434,95.74353718494895,C
958,66.71053112391331,D,993,73.88789730562728,D,438,25.213083448086614,D,429,50.21016728949246,B
996,12.705600854741911,D,543,17.218574640797556,D,250,92.27453302631166,A,900,14.28068417221856,B
270,95.44057603688383,D,718,35.07977373317614,C,38,50.395944172228695,B,90,20.64752103935921,A
863,86.69155078938168,C,970,66.9813904182162,C,862,97.86343368349714,D,447,5.490658341013172,B
816,58.14439122788607,C,274,93.82744753397569,A,45,73.68171148408891,B,577,71.27573243237033,B
271,67.72974887507071,D,11,8.454720473156842,D,359,81.25919006814522,D,155,70.70531506724615,B
456,2.649386653177383,C,871,52.13951910997636,A,137,39.49899745461548,A,727,60.6479358905292,B
462,34.55553275949642,B,47,9.108628584537636,D,823,14.268057183374532,C,447,55.083727993471705,C
727,79.77036283548276,C,515,38.53406314420252,B,979,69.27993675161726,C,874,38.76759797803002,B
252,8.670814405446203,B,642,18.36326390464719,D,820,41.30004888484732,C,870,95.11272537847292,C
702,28.9490695868613,D,438,65.29440383527282,A,461,94.93930302591558,A,139,80.25160187154354,D
296,58.94438600509682,C,584,76.02542264351469,C,367,20.16959197881408,D,231,90.85455148530903,B
725,26.384889742195238,D,671,25.48697744932948,B,305,63.023841389377296,B,42,31.85427009572716,D
720,93.4638194403074,A,904,71.57582775622186,B,229,86.74005698470059,C,236,97.85008505732537,A
749,13.974804449624747,C,427,45.23507484781129,D,183,40.88007589527756,C,469,17.36967955154286,B
338,79.94204143287008,C,432,29.07442300851794,B,467,95.41309430972528,A,598,6.570980746316592,A
879,51.28692049873442,D,130,52.81676519998672,A,838,8.585041738377654,A,348,32.66420535470104,D
53,75.28274680617564,D,22,38.585364238275595,A,204,59.10564914542861,D,678,20.927404336833217,D
792,31.760817502833298,D,892,23.76962920096943,D,975,77.9612853169274,D,198,52.234828890258214,B
922,51.93447062889184,A,389,75.92763481686843,C,623,20.978884575409086,D,345,35.6697271478497,B
217,85.82669962259446,A,135,79.95489074459499,B,899,6.727887760574011,B,62,18.002865034907696,A
764,47.220931813187335,D,532,80.23091183474534,B,68,8.90986357758061,D,388,84.5815735311264,C
188,36.61226632911669,C,220,38.832136807533765,D,869,32.603694731034274,D,34,51.289081595664314,D
380,54.07938323902087,C,333,17.783316689527915,B,550,23.09399860922907,B,282,11.843463899008462,D
493,72.01891255060032,D,130,84.20071686924037,C,710,23.165125371022935,C,231,8.457979232414313,A
41,44.91277120435177,B,32,33.59712377213512,D,305,46.39357601515517,C,373,38.93486465981251,C
157,93.94882053908502,A,602,75.05861342294993,A,604,9.408444145785865,A,822,90.89030801268264,A
15,30.19963658019186,A,771,81.92760554336736,B,776,99.55456230454388,B,411,51.29199005992167,D
813,48.070897010742925,B,425,77.04709726267302,D,755,69.88495523386169,D,679,14.774403708538342,D
65,75.9358382748027,D,298,39.59079703838996,A,628,3.9990423614738484,C,213,25.41659532631416,B
857,69.22298795908006,C,504,93.86365593233776,A,95,69.49851287136414,A,277,5.89850871571811,C
839,86.50046418929846,C,845,66.35607926350185,A,725,79.39095047286607,B,566,83.35218816639205,C
521,99.68410888742979,A,761,57.998882147811,D,246,19.885461855491492,B,696,94.65917493415863,B
344,43.258974550713866,B,981,70.09300110542637,D,685,84.18740305770834,B,221,8.703567028284246,C
129,12.003937098547873,C,685,5.427985203273618,A,797,61.56473598479355,D,610,18.125117990702087,A
648,4.011172199988829,A,357,39.66098230508516,A,79,82.26471740603063,D,575,17.93582140483438,C
472,72.96081370783739,C,983,88.24049823077488,D,433,71.95267266272067,D,987,80.56691421810773,D
63,87.52735345956285,C,455,16.9468904480757,D,280,70.75823285683711,A,554,84.0879578507605,A
139,22.85054600849745,C,401,42.02566412589664,C,661,16.665863231890405,B,761,42.508095190268456,A
499,16.68635568180069,A,988,41.119551126025115,A,369,32.26389222759354,A,110,96.96370117028434,D
593,7.158304061043407,B,896,36.248129359599425,B,279,52.80129524134604,A,666,26.688199148385742,B
392,82.44758925000343,D,559,56.672781557039016,B,351,12.142114021761548,A,197,52.98690111472562,D
675,31.82681204936585,B,990,99.62360690898376,D,226,48.37081161626337,D,660,99.63255946736231,B
419,40.76799238321787,C,709,26.32903602987634,B,924,45.08669567565122,B,968,82.88327983514614,B
289,50.77226896935162,B,920,70.79075513492417,D,928,23.960409514105937,C,884,49.23128159466135,A
379,84.10587018674552,C,455,76.0415047797914,C,406,20.772061385132577,D,722,11.744034605833527,C
773,65.43248893458701,A,891,58.86534948828657,D,446,25.490041040320655,D,949,90.53085077426998,A
490,61.89139835592332,A,34,10.65009310221692,A,323,60.90556946476884,C,384,54.67045559613444,D
231,18.39153789563516,A,766,57.66497623718443,D,630,42.08028478470316,A,453,31.52639843611171,C
41,51.805799279273145,C,248,95.39298309157624,B,73,41.98195025345515,A,452,45.67065784668857,A
28,71.82272070068687,B,946,34.863954294478674,B,518,18.99158788485355,D,755,31.78189405247077,B
135,97.35282742001868,D,42,64.3291245115634,B,321,78.9492429907967,D,107,55.554493586207926,B
201,20.93922461212187,D,801,95.98037551009958,A,22,70.33755947185918,D,5,28.020643934802294,A
840,1.9447919536554379,A,123,80.00103784223994,D,179,43.47843120519536,C,144,45.15237254170681,D
780,8.454841926248506,D,27,69.14246524000724,D,708,15.077990004995797,D,137,43.199766042076966,C
930,38.20939405301594,C,462,97.1437389980631,B,109,71.75538618246738,D,793,61.99085114935863,A
33,82.23392012685272,B,571,17.88771257458122,A,372,89.98558986325307,B,441,2.4024358841758575,B
48,1.7070660950562595,D,147,77.50213006148402,B,697,18.647930910914884,C,166,60.27636873535935,B
503,46.21632869569819,D,496,41.27674096495456,B,456,60.663382241664124,C,648,59.71826384034244,B
407,33.593830918798055,B,627,36.682737080369925,A,567,43.00657140831219,B,640,39.836539866310844,D
574,6.19568929987303,D,486,52.54657892579408,B,229,9.677385591409225,A,65,25.44303966161051,C
728,45.57339238058911,B,460,4.341354818968362,C,938,72.85687392429585,C,415,84.08588142301497,A
805,26.220122026335165,C,899,31.940432471907915,A,948,8.043574488752418,D,801,35.13355874462424,C
99,35.83659860035364,C,711,17.45533395781778,B,957,70.52091745362402,D,439,31.861212982892162,A
684,70.855915173645,C,128,14.730399042313168,D,531,28.834136532304125,A,380,46.853529506693185,D
872,52.633547407185745,A,376,34.396710491989715,C,364,57.00031550700756,B,128,28.520995972062842,A
726,13.34009547028852,C,995,80.42417144306022,D,897,16.88493036435181,B,197,83.24557090537373,B
987,96.18003950194027,D,665,20.909995717651803,D,425,37.718790116471816,B,594,56.92986115839174,B
547,63.9551658052641,A,881,53.610162658808555,C,959,11.30485935142514,D,804,75.68353221723825,D
961,76.82097414059062,A,783,75.11696320948033,A,216,47.263058492906495,B,496,74.79284420969277,C
739,8.84210185082871,A,851,24.85618195560674,B,48,22.11577953521821,B,596,79.03252368975662,B
613,5.65877956654187,C,956,92.49612627982141,D,465,19.605117363961547,D,502,87.05137909324327,A
943,2.925356986440036,A,83,86.78329242982875,D,672,11.608089414688443,A,152,92.02693227045552,B
462,19.690608749571002,C,535,25.866642961650417,D,946,76.77796688933371,D,701,38.9772971009738,A
643,42.02643137413102,C,523,98.9741686692136,A,910,64.31246785296034,B,723,44.92803361533253,C
769,93.64678720687947,A,699,67.24793831738661,D,273,16.53349280125794,A,28,5.955830614845434,B
5,46.24890626731185,A,981,29.323903704619635,D,608,47.77050938413045,B,60,92.64493138342023,B
218,29.73525543188041,D,628,68.42270807525124,D,993,66.42757692873101,D,94,59.127375750844415,A
503,56.63159009844667,A,674,66.95857876992585,C,30,87.92879983818162,D,999,71.51913335266526,D
767,12.081523235344134,C,103,61.01316884869858,C,633,6.897643289170337,A,847,44.16452021899271,D
398,61.341083209493334,D,755,71.457914996769,D,879,36.87313873133365,B,114,47.91094402971035,B
871,57.27476347871983,D,519,27.563253347148766,A,947,61.979371255384,B,841,54.77446879193335,C
795,79.40731030716526,C,362,97.91956307336392,A,866,2.5461265956049832,A,124,79.74032121187693,C
393,98.68207355008539,A,684,85.93167997024065,B,988,25.10911723516073,C,551,61.683890508604144,D
207,25.836473699894942,A,256,74.82839391030278,C,190,74.74515296161402,D,927,81.30982206957822,B
15,51.4559886295723,B,247,3.6041943667216625,A,152,36.21791996056802,D,257,22.451917720243618,D
858,90.97767522558135,A,987,59.44815195181178,D,376,9.364979218881409,B,13,21.37804665275691,A
554,78.73379855786129,B,192,70.94191482609567,C,255,63.032937117073004,D,740,21.474546146117433,C
892,49.25322400697995,D,626,85.55588288368043,A,703,25.755226555350976,A,194,1.4795408616827421,D
461,94.591793311863,D,535,94.66955505710531,B,654,70.46375522454296,D,554,18.727300919918367,B
691,6.666432658164128,D,870,91.66945689423349,D,758,90.11731230196531,A,933,12.7559443973764,D
575,93.16886335154582,B,314,41.19844831578614,C,34,53.25804831612405,D,185,45.92168166280446,B
864,6.000231845897848,C,276,89.75361760942133,B,187,60.315242056494064,C,35,13.596830657399837,D
743,55.183169667353745,C,923,1.074132112272248,B,879,51.92618804524752,B,549,42.16931655430455,D
241,89.1536538521075,D,373,35.79604593927086,C,449,81.92676692300878,C,75,99.95080840929566,C
564,27.00937341256898,B,444,12.274225853808971,A,86,24.929749130417438,A,250,50.833338384562566,D
96,47.75260139557069,B,648,88.42370230497004,D,673,40.75283960912538,B,978,92.54006983331321,A
900,33.1085590345597,D,869,92.87020863792495,B,876,89.60811186424898,D,639,70.4889192970544,D
734,95.26224779055879,A,195,26.344833396872144,B,118,72.64095626141206,D,20,89.53775228889421,B
485,82.54091388055599,D,258,37.36373436442087,C,623,32.68849937492882,C,962,62.93248706802062,B
407,71.19114962131158,B,790,98.40388432229214,C,58,83.43059507984539,B,728,81.19935983219118,A
231,59.17507167489576,A,582,57.04028290921025,C,18,24.643596850283366,D,247,30.977235900843016,A
749,82.23858714309067,C,871,50.20852849874232,B,879,63.783755916552906,A,720,37.818981973903504,B
655,39.83443711083116,A,360,50.54310707664114,A,871,95.68923878303318,C,663,96.065721116962,D
171,45.307633655500126,C,548,69.92262974800548,A,140,57.89638701284309,D,439,27.485845561914935,A
541,73.27017038700528,B,108,95.49976044242938,D,458,80.14723425603046,A,825,42.71582976011582,D
36,36.41772156607771,D,24,37.29562054548491,C,706,73.80764371542716,A,434,65.46472077166268,A
525,7.326193262789008,D,652,18.093136668755253,D,642,86.70638205916364,C,166,39.84791625394862,D
160,8.359126279721075,D,465,19.316276323146052,B,966,96.90765376042643,C,303,3.0735585475344425,A
839,12.420917329264682,D,22,3.015544770405762,B,212,3.2093391484970013,C,620,79.43080960958397,B
699,87.09845101102262,D,502,55.98563911581012,B,486,3.7591073661913557,A,349,34.22925833078557,D
243,47.75041614986423,B,851,92.98260466817462,D,796,59.847807594738036,B,128,23.538813320356994,A
86,71.5753545651289,B,841,71.59461264251584,C,120,95.47028970971617,B,670,51.051005117258676,D
796,39.89802422488443,D,716,99.30348813067461,D,891,49.0826241919882,B,964,1.8348213121278207,C
578,26.612383794147814,A,892,91.04321333512011,D,554,84.13817683035836,B,349,86.52542464834472,C
682,35.37202458865898,D,736,49.693909665651994,B,3,77.02286755878032,B,236,26.87364617195688,A
557,79.62405218640117,C,501,49.168388678528615,B,944,50.32697512459684,B,634,92.35193424673868,C
574,62.89639637811238,C,735,63.207365753028256,A,229,51.804060439549716,D,811,68.09791763312046,A
953,93.82633821583231,C,593,11.982624142828795,C,229,44.16730784715079,D,374,55.316233849905366,A
646,68.29077307910656,C,407,61.1607398046757,C,985,25.967673777832893,C,233,80.81928751137612,C
796,57.4479815437147,D,330,46.94332796137,C,343,86.01251457658591,B,923,99.3323908419086,B
28,61.40940488959761,C,703,64.63130224058852,D,141,21.747443635848377,D,993,25.86969224229237,A
620,94.29477250737305,A,286,56.95578686023405,B,57,90.78513445173841,A,594,36.154515120835555,A
556,79.0318920568039,D,147,31.729190168167342,B,216,36.613033351241896,A,64,48.95803051507595,C
340,3.3800824992773437,C,794,61.16843631882227,A,643,3.6232333419289535,B,6,54.40828738244383,D
798,53.87982991743402,D,986,37.23542093409829,D,114,17.66942471426181,A,864,55.744091718565656,C
958,69.14550274310992,D,384,20.267492924133972,C,703,88.89465166915669,D,799,55.348277979796535,A
331,75.12114936547636,D,11,67.83201392804513,D,755,13.71600967628961,A,204,82.99592008366119,D
640,22.101069812079732,B,276,31.32836220883944,B,294,74.13859339731573,B,508,41.05546318996747,D
506,86.85055809068388,C,886,89.01345320673758,A,827,19.098557178737774,C,599,2.0861495428237924,C
348,95.6284715703412,B,568,20.73391351170715,D,28,50.394356740294675,C,157,87.69367166561247,D
473,24.43481527864211,A,685,60.41425980481888,B,538,21.315494061155242,D,387,66.56296643217776,B
231,88.37893029420734,A,964,57.583328710076074,D,596,33.98337833906892,D,609,19.758671167331624,B
190,10.600897489093443,B,303,20.576438279314004,B,859,13.357400215718663,D,871,3.930488689402801,B
225,6.514976775409274,C,204,44.548797047589446,D,321,56.04422533611019,D,220,32.26220586945068,A
385,13.793156210172187,D,345,67.87833838273663,C,842,37.21669579510113,B,210,13.320325656255072,C
377,6.716366867236563,A,760,32.53419324450745,D,714,37.18293588668251,C,108,89.78572473718025,C
283,84.65621147842181,A,826,12.269235083339035,D,573,4.8188423177893505,C,509,28.508768211608796,A
958,6.845964301368923,A,266,61.908830780830186,C,697,14.476710524754267,B,726,70.86094294458074,A
633,27.894754945001893,C,22,23.188068323791093,D,758,71.04551807693242,A,148,66.14092712309095,C
628,11.271878010049782,B,839,68.46602298728918,B,513,29.939707685197956,C,720,71.68351834466239,A
973,30.246781595062732,B,536,84.10724256183258,B,928,44.76484593826858,B,58,53.47418361530601,C
745,9.965387292491128,C,706,13.212181773529762,B,755,76.54371827363897,A,244,73.2383971515127,D
259,67.13232182355839,A,96,44.32330111990879,B,32,45.03098642470947,D,57,51.726818580618165,D
359,14.19935481791494,C,981,45.04730466553147,B,747,23.335294113651987,C,71,38.38310919713128,D
710,85.3327466580499,C,445,63.62105594677512,C,411,55.43260007018664,B,497,85.98567473106775,C
456,81.90191402193746,B,263,34.10638495095923,C,397,80.31939459915772,C,260,46.41389402403415,A
411,2.3525068615903324,C,584,42.43834640328924,D,17,60.36454647036184,C,554,57.23567150976653,A
649,89.67690919599634,C,755,2.187133158797269,B,924,42.59794364508559,B,358,47.035527978622625,A
318,3.865487357593339,A,383,13.12016520714267,D,601,13.436827224467804,D,34,77.77436749303146,A
677,24.724932710798104,D,550,57.4163478559454,B,52,25.62260430827768,A,484,54.43564982173747,A
225,4.2065246398235105,A,917,22.37368422920778,D,370,94.66576889941979,B,786,47.60712887526064,A
819,34.24850521689228,B,392,15.31311208984113,C,164,77.40899670092486,A,353,26.524710359061636,C
234,51.87278604561389,D,889,33.116864028452156,B,303,9.669616875489508,B,705,91.24263264320776,B
684,79.86784203249867,A,601,17.190033798379226,C,450,1.5459459849671813,B,880,86.45385052509174,A
664,34.460173496513775,C,540,6.902621211332192,D,928,18.36651478283113,C,921,43.7178723946826,C
975,70.84351244263856,C,92,29.10196666527336,C,544,94.44518309024721,A,429,66.31222116062342,C
827,19.562941254779055,D,566,17.27148569518956,C,710,58.42385285380023,A,142,51.303200566407476,C
374,75.30924721766851,D,159,80.1401784911488,C,502,84.02731567066583,A,779,18.44215386845603,C
672,24.36366398501452,C,884,7.203039726135651,A,351,47.0572762867705,C,633,38.226883736626796,A
608,15.210930838433024,B,228,74.99688043990253,D,379,82.83697911673633,B,436,85.46855321878961,D
472,19.355476187031375,A,473,38.89683840083698,D,439,4.357725358053576,C,254,79.94636692855893,D
233,19.024249759303682,C,372,67.85680962559012,B,201,43.255125254349274,B,765,11.146637889619596,C
692,51.773425058322125,A,376,6.216254197005529,B,107,38.381853885002315,B,776,8.456813548898468,B
113,84.63496053762645,A,553,92.14969548416752,B,505,98.17309416788827,B,316,85.49815742006695,A
830,8.880902622258057,A,37,76.97019402790933,C,384,30.747097500028545,B,298,90.03151230683127,B
497,70.98867553084884,A,637,14.874164115548389,D,848,42.2747679980797,D,656,30.12908133914442,D
442,65.78029950563291,B,934,22.659652731708675,C,857,76.12128401017915,B,763,35.57936583046066,B
564,87.37947523110688,B,691,64.7556270313091,D,296,88.19059684509364,C,167,34.244477858798824,C
268,25.170608490183817,B,844,92.23469782514069,C,28,87.96042925088497,A,613,13.56986977190023,B
510,45.56087600981793,C,37,45.13740670961712,B,337,40.05657619546354,B,351,74.7560501218661,A
807,92.65691006990822,C,101,49.07764670715876,C,287,94.9069403537892,C,42,37.63851427231463,C
386,66.3393515633964,C,543,24.542225877513935,A,631,65.6973787502015,C,402,83.7864878644264,A
387,39.488072873298094,B,190,38.91807668649209,B,343,85.26241927387832,C,889,87.97340593357441,D
113,14.009825902671578,A,512,29.315752580200265,A,31,92.70144551983815,C,391,91.36655081726836,D
613,26.986015782158514,B,658,35.7065438141435,A,666,24.12637260454444,C,388,81.97626919328388,A
625,58.540332271448946,C,90,3.0391648507793736,B,772,50.42065003891374,B,96,79.10216219056164,B
952,72.09862680849086,D,6,5.065013722551537,A,487,59.19193228215313,A,991,45.499305870335014,B
81,13.317766798337455,C,905,68.38796685698138,A,619,80.44133161177336,B,458,3.6677996229619305,A
699,60.36012874436135,A,139,68.49772370334024,D,251,40.71540400972403,B,798,12.09419896952813,C
113,55.48477660503635,B,95,33.69282943324766,C,363,21.834468070398344,A,178,53.556660283946876,A
2,51.88158922238009,D,631,88.66077727862985,A,107,74.58021882652325,D,754,36.642527816205885,B
642,69.32218865051878,D,878,27.34509950379241,C,506,59.64111407587354,B,739,83.07909628454506,D
220,83.90750991326273,A,632,40.18269341541547,A,442,89.93159568931976,A,813,56.75084915467379,D
566,32.97597863450997,B,386,73.40618680403244,B,117,65.84796807797589,B,287,10.784527561648014,A
